"country","hdicode","hdi_2020","Mobility_SiteName","date","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline","PM_SiteName","a_mean","sd"
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-05-27,NA,NA,NA,NA,NA,NA,"Kabul",17.29166667,6.570548033
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-05-28,NA,NA,NA,NA,NA,NA,"Kabul",20.875,7.338478103
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-05-29,NA,NA,NA,NA,NA,NA,"Kabul",23.5,13.06838202
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-05-30,NA,NA,NA,NA,NA,NA,"Kabul",17.125,6.333571697
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-05-31,NA,NA,NA,NA,NA,NA,"Kabul",14.875,5.169412548
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-06-01,NA,NA,NA,NA,NA,NA,"Kabul",18.31578947,8.386845729
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-07-03,-23,5,-2,-16,-6,6,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-07-04,-17,12,-10,-10,-24,11,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-07-05,-15,4,-12,-8,-28,12,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-07-06,-16,20,-12,-6,-26,9,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-07-07,-11,12,-8,-6,-28,9,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-07-08,-16,13,-8,-11,-27,9,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-07-09,-17,8,-6,-10,-23,11,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-07-10,-15,14,3,-9,-5,7,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-07-11,-12,18,-3,-4,-18,9,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-07-12,-11,16,-12,-5,-24,10,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-07-13,-14,26,-8,-3,-20,8,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-07-14,-13,16,-6,-3,-21,10,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-07-15,-10,16,-6,-7,-20,10,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-07-16,-13,16,-9,-3,-20,10,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-07-17,-9,19,7,-3,-2,6,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-07-18,-9,24,-6,-2,-15,8,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-07-19,-7,25,-6,1,-18,9,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-07-20,-5,28,-10,-1,-16,7,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-07-21,-8,19,-2,-3,-18,8,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-07-22,-6,24,-5,-7,-19,9,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-07-23,-10,19,-3,-2,-18,9,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-07-24,-5,29,6,-6,1,7,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-07-25,-8,30,4,-4,-14,8,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-07-26,-5,29,1,1,-18,9,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-07-27,-6,34,-2,-3,-18,5,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-07-28,-3,30,6,1,-20,5,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-07-29,-2,36,2,2,-25,6,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-07-30,-10,25,-10,-4,-52,13,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-07-31,-36,-7,-11,-20,-26,4,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-08-01,-44,-32,-16,-27,-71,14,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-08-02,-37,-28,-17,-25,-72,13,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-08-03,-21,-1,-3,-15,-40,6,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-08-04,-14,9,-2,-7,-26,5,NA,NA,NA
