s_id,sch_id,s_itt_2122,sum_score,std_pretest,mean_sum,mean_pre,school_size,pretest_dev
7744,1,0,10,0.3789287845716313,15.71,-0.41088578504869855,100,0.7898145696203298
527,1,0,24,0.21495344139786038,15.71,-0.41088578504869855,100,0.6258392264465589
1940,1,0,28,-1.0421908562677165,15.71,-0.41088578504869855,100,-0.6313050712190179
484,1,0,8,-0.7688986176447651,15.71,-0.41088578504869855,100,-0.35801283259606653
284,1,0,7,-1.9167260198611613,15.71,-0.41088578504869855,100,-1.5058402348124629
3572,1,0,18,0.4882456800208119,15.71,-0.41088578504869855,100,0.8991314650695105
2879,1,0,28,0.9255132618175343,15.71,-0.41088578504869855,100,1.3363990468662328
766,1,0,4,-0.49560637902181354,15.71,-0.41088578504869855,100,-0.08472059397311499
4013,1,0,25,-1.3701415426152583,15.71,-0.41088578504869855,100,-0.9592557575665598
6440,1,0,23,-0.38628948357263293,15.71,-0.41088578504869855,100,0.02459630147606562
1436,1,0,17,0.4882456800208119,15.71,-0.41088578504869855,100,0.8991314650695105
1224,1,0,17,0.6522210231945827,15.71,-0.41088578504869855,100,1.0631068082432813
6079,1,0,10,-1.4794584380644389,15.71,-0.41088578504869855,100,-1.0685726530157402
5813,1,0,8,-1.0421908562677165,15.71,-0.41088578504869855,100,-0.6313050712190179
5286,1,0,11,-1.5341168857890293,15.71,-0.41088578504869855,100,-1.1232311007403308
3054,1,0,7,-1.315483094890668,15.71,-0.41088578504869855,100,-0.9045973098419694
6030,1,0,17,-1.315483094890668,15.71,-0.41088578504869855,100,-0.9045973098419694
1042,1,0,12,0.4335872322962216,15.71,-0.41088578504869855,100,0.8444730173449202
5122,1,0,11,-0.22231414039886202,15.71,-0.41088578504869855,100,0.18857164464983653
1109,1,0,24,0.4335872322962216,15.71,-0.41088578504869855,100,0.8444730173449202
3468,95,0,26,0.10563654594867979,10.128205128205128,-0.7843151029004187,78,0.8899516488490985
2467,1,0,12,-0.49560637902181354,15.71,-0.41088578504869855,100,-0.08472059397311499
2606,1,0,25,-0.8235570653693554,15.71,-0.41088578504869855,100,-0.4126712803206568
2098,1,0,11,-0.2769725881234523,15.71,-0.41088578504869855,100,0.13391319692524623
3243,1,0,18,0.10563654594867979,15.71,-0.41088578504869855,100,0.5165223309973783
4863,1,0,7,-0.8782155130939456,15.71,-0.41088578504869855,100,-0.4673297280452471
5059,1,0,6,-1.6980922289628002,15.71,-0.41088578504869855,100,-1.2872064439141018
1859,1,0,6,-0.9875324085431262,15.71,-0.41088578504869855,100,-0.5766466234944276
5179,1,0,13,-0.4409479312972232,15.71,-0.41088578504869855,100,-0.030062146248524657
2570,1,0,28,-0.22231414039886202,15.71,-0.41088578504869855,100,0.18857164464983653
6583,1,0,4,0.21495344139786038,15.71,-0.41088578504869855,100,0.6258392264465589
5673,1,0,26,-0.05833879722509112,15.71,-0.41088578504869855,100,0.35254698782360744
5531,1,0,17,0.05097809822408949,15.71,-0.41088578504869855,100,0.46186388327278804
3241,1,0,27,1.034830157266715,15.71,-0.41088578504869855,100,1.4457159423154136
4265,1,0,7,0.3789287845716313,15.71,-0.41088578504869855,100,0.7898145696203298
7539,1,0,26,-0.16765569267427172,15.71,-0.41088578504869855,100,0.24323009237442683
626,1,0,28,0.3789287845716313,15.71,-0.41088578504869855,100,0.7898145696203298
6892,1,0,12,0.324270336847041,15.71,-0.41088578504869855,100,0.7351561218957395
2968,1,0,10,-0.49560637902181354,15.71,-0.41088578504869855,100,-0.08472059397311499
1735,1,0,6,-0.5502648267464039,15.71,-0.41088578504869855,100,-0.13937904169770532
6205,1,0,22,0.9801717095421246,15.71,-0.41088578504869855,100,1.3910574945908232
2700,1,0,19,-0.8235570653693554,15.71,-0.41088578504869855,100,-0.4126712803206568
7584,1,0,14,-0.003680349500500814,15.71,-0.41088578504869855,100,0.4072054355481977
4926,1,0,9,-0.22231414039886202,15.71,-0.41088578504869855,100,0.18857164464983653
811,1,0,8,0.2696118891224507,15.71,-0.41088578504869855,100,0.6804976741711493
3582,1,0,28,-1.3701415426152583,15.71,-0.41088578504869855,100,-0.9592557575665598
3996,1,0,21,0.7068794709191731,15.71,-0.41088578504869855,100,1.1177652559678717
7220,1,0,7,0.05097809822408949,15.71,-0.41088578504869855,100,0.46186388327278804
6473,1,0,15,-0.38628948357263293,15.71,-0.41088578504869855,100,0.02459630147606562
1288,1,0,16,-0.8782155130939456,15.71,-0.41088578504869855,100,-0.4673297280452471
4539,1,0,8,-0.6595817221955844,15.71,-0.41088578504869855,100,-0.24869593714688587
398,1,0,21,0.3789287845716313,15.71,-0.41088578504869855,100,0.7898145696203298
5082,1,0,24,-0.11299724494968141,15.71,-0.41088578504869855,100,0.2978885400990171
5063,1,0,10,-0.3316310358480426,15.71,-0.41088578504869855,100,0.07925474920065595
731,1,0,5,-1.8074091244119808,15.71,-0.41088578504869855,100,-1.396523339363282
3539,1,0,25,-0.8782155130939456,15.71,-0.41088578504869855,100,-0.4673297280452471
851,1,0,7,-0.6595817221955844,15.71,-0.41088578504869855,100,-0.24869593714688587
6581,1,0,28,-0.6049232744709941,15.71,-0.41088578504869855,100,-0.1940374894222956
1891,1,0,27,-1.4794584380644389,15.71,-0.41088578504869855,100,-1.0685726530157402
491,1,0,7,-1.8620675721365711,15.71,-0.41088578504869855,100,-1.4511817870878727
3295,1,0,26,0.2696118891224507,15.71,-0.41088578504869855,100,0.6804976741711493
404,1,0,13,-0.38628948357263293,15.71,-0.41088578504869855,100,0.02459630147606562
7326,1,0,25,-0.38628948357263293,15.71,-0.41088578504869855,100,0.02459630147606562
1892,1,0,23,0.9801717095421246,15.71,-0.41088578504869855,100,1.3910574945908232
4020,1,0,12,0.2696118891224507,15.71,-0.41088578504869855,100,0.6804976741711493
3946,1,0,28,-1.5341168857890293,15.71,-0.41088578504869855,100,-1.1232311007403308
3732,1,0,8,-0.16765569267427172,15.71,-0.41088578504869855,100,0.24323009237442683
7540,1,0,5,-0.6049232744709941,15.71,-0.41088578504869855,100,-0.1940374894222956
5009,1,0,13,-0.8782155130939456,15.71,-0.41088578504869855,100,-0.4673297280452471
1053,1,0,25,-0.7688986176447651,15.71,-0.41088578504869855,100,-0.35801283259606653
2203,1,0,20,0.4335872322962216,15.71,-0.41088578504869855,100,0.8444730173449202
4467,1,0,27,0.8161963663683537,15.71,-0.41088578504869855,100,1.2270821514170522
6054,1,0,5,-0.9328739608185359,15.71,-0.41088578504869855,100,-0.5219881757698374
6698,1,0,20,-0.38628948357263293,15.71,-0.41088578504869855,100,0.02459630147606562
613,1,0,25,-0.8782155130939456,15.71,-0.41088578504869855,100,-0.4673297280452471
3063,1,0,19,-1.315483094890668,15.71,-0.41088578504869855,100,-0.9045973098419694
7563,1,0,4,-1.0968493039923068,15.71,-0.41088578504869855,100,-0.6859635189436083
4474,1,0,7,-1.0421908562677165,15.71,-0.41088578504869855,100,-0.6313050712190179
6112,1,0,26,0.7615379186437634,15.71,-0.41088578504869855,100,1.1724237036924618
460,1,0,25,-1.5341168857890293,15.71,-0.41088578504869855,100,-1.1232311007403308
6192,1,0,27,0.4335872322962216,15.71,-0.41088578504869855,100,0.8444730173449202
4092,54,0,19,0.21495344139786038,14.357142857142858,-0.28366545927340214,98,0.4986189006712625
6935,1,0,13,0.9801717095421246,15.71,-0.41088578504869855,100,1.3910574945908232
1407,1,0,26,-0.11299724494968141,15.71,-0.41088578504869855,100,0.2978885400990171
3866,1,0,8,-0.9328739608185359,15.71,-0.41088578504869855,100,-0.5219881757698374
3476,1,0,19,0.1602949936732701,15.71,-0.41088578504869855,100,0.5711807787219687
100,1,0,4,-0.6049232744709941,15.71,-0.41088578504869855,100,-0.1940374894222956
4313,1,0,8,-1.4794584380644389,15.71,-0.41088578504869855,100,-1.0685726530157402
7243,1,0,9,-0.7142401699201747,15.71,-0.41088578504869855,100,-0.30335438487147615
4661,1,0,22,0.7615379186437634,15.71,-0.41088578504869855,100,1.1724237036924618
6595,1,0,20,-0.4409479312972232,15.71,-0.41088578504869855,100,-0.030062146248524657
7529,1,0,11,-0.3316310358480426,15.71,-0.41088578504869855,100,0.07925474920065595
7347,1,0,16,-1.1515077517168972,15.71,-0.41088578504869855,100,-0.7406219666681987
2966,1,0,11,0.10563654594867979,15.71,-0.41088578504869855,100,0.5165223309973783
6862,1,0,6,-1.4247999903398487,15.71,-0.41088578504869855,100,-1.01391420529115
7549,1,0,7,-0.38628948357263293,15.71,-0.41088578504869855,100,0.02459630147606562
4778,1,0,14,-1.5887753335136194,15.71,-0.41088578504869855,100,-1.177889548464921
6896,1,0,26,0.4882456800208119,15.71,-0.41088578504869855,100,0.8991314650695105
7622,1,0,25,0.10563654594867979,15.71,-0.41088578504869855,100,0.5165223309973783
7593,1,0,6,-0.6049232744709941,15.71,-0.41088578504869855,100,-0.1940374894222956
7506,1,0,11,-1.4794584380644389,15.71,-0.41088578504869855,100,-1.0685726530157402
1139,3,1,15,-0.11299724494968141,19.94736842105263,0.6349604607552385,114,-0.7479577057049199
536,3,1,14,0.21495344139786038,19.94736842105263,0.6349604607552385,114,-0.4200070193573781
627,3,1,17,0.4882456800208119,19.94736842105263,0.6349604607552385,114,-0.14671478073442656
4916,3,1,15,0.9255132618175343,19.94736842105263,0.6349604607552385,114,0.29055280106229586
87,3,1,21,-0.8235570653693554,19.94736842105263,0.6349604607552385,114,-1.4585175261245937
6638,3,1,22,0.5975625754699925,19.94736842105263,0.6349604607552385,114,-0.03739788528524601
6181,3,1,27,0.9255132618175343,19.94736842105263,0.6349604607552385,114,0.29055280106229586
3211,3,1,26,0.5429041277454022,19.94736842105263,0.6349604607552385,114,-0.09205633300983629
6903,3,1,17,-0.05833879722509112,19.94736842105263,0.6349604607552385,114,-0.6932992579803297
755,3,1,26,1.6360730822372083,19.94736842105263,0.6349604607552385,114,1.0011126214819699
466,3,1,27,0.9801717095421246,19.94736842105263,0.6349604607552385,114,0.34521124878688614
5922,3,1,26,1.3081223958896664,19.94736842105263,0.6349604607552385,114,0.6731619351344279
3542,3,1,21,0.7615379186437634,19.94736842105263,0.6349604607552385,114,0.12657745788852492
5228,3,1,24,1.5267561867880277,19.94736842105263,0.6349604607552385,114,0.8917957260327892
4899,3,1,21,1.7453899776863888,19.94736842105263,0.6349604607552385,114,1.1104295169311502
1263,3,1,25,1.5267561867880277,19.94736842105263,0.6349604607552385,114,0.8917957260327892
5919,3,1,20,0.5429041277454022,19.94736842105263,0.6349604607552385,114,-0.09205633300983629
4218,3,1,21,1.4720977390634373,19.94736842105263,0.6349604607552385,114,0.8371372783081988
1761,3,1,12,-1.4794584380644389,19.94736842105263,0.6349604607552385,114,-2.1144188988196775
15,3,1,23,0.870854814092944,19.94736842105263,0.6349604607552385,114,0.23589435333770548
1129,3,1,21,0.4882456800208119,19.94736842105263,0.6349604607552385,114,-0.14671478073442656
1782,3,1,23,0.870854814092944,19.94736842105263,0.6349604607552385,114,0.23589435333770548
6077,3,1,27,1.6907315299617984,19.94736842105263,0.6349604607552385,114,1.05577106920656
2111,3,1,18,-1.0968493039923068,19.94736842105263,0.6349604607552385,114,-1.7318097647475454
